Title,Price,Rating,Category,Availability,Price_Cleaned,Rating_Num,In_Stock,Price_Category
A Light in the Attic,£51.77,Three,Poetry,In stock (22 available),51.77,3,True,Premium
Tipping the Velvet,£53.74,One,Historical Fiction,In stock (20 available),53.74,1,True,Premium
Soumission,£50.10,One,Fiction,In stock (20 available),50.1,1,True,Premium
Sharp Objects,£47.82,Four,Mystery,In stock (20 available),47.82,4,True,Premium
Sapiens: A Brief History of Humankind,£54.23,Five,History,In stock (20 available),54.23,5,True,Premium
The Requiem Red,£22.65,One,Young Adult,In stock (19 available),22.65,1,True,Mid-range
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business,In stock (19 available),33.34,4,True,Mid-range
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default,In stock (19 available),17.93,3,True,Budget
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default,In stock (19 available),22.6,4,True,Mid-range
The Black Maria,£52.15,One,Poetry,In stock (19 available),52.15,1,True,Premium
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default,In stock (19 available),13.99,2,True,Budget
Shakespeare's Sonnets,£20.66,Four,Poetry,In stock (19 available),20.66,4,True,Mid-range
Set Me Free,£17.46,Five,Young Adult,In stock (19 available),17.46,5,True,Budget
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art,In stock (19 available),52.29,5,True,Premium
Rip it Up and Start Again,£35.02,Five,Music,In stock (19 available),35.02,5,True,Mid-range
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music,In stock (19 available),57.25,3,True,Premium
Olio,£23.88,One,Poetry,In stock (19 available),23.88,1,True,Mid-range
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction,In stock (19 available),37.59,1,True,Mid-range
Libertarianism for Beginners,£51.33,Two,Politics,In stock (19 available),51.33,2,True,Premium
It's Only the Himalayas,£45.17,Two,Travel,In stock (19 available),45.17,2,True,Premium
In Her Wake,£12.84,One,Thriller,In stock (19 available),12.84,1,True,Budget
How Music Works,£37.32,Two,Music,In stock (19 available),37.32,2,True,Mid-range
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink,In stock (19 available),30.52,3,True,Mid-range
Chase Me (Paris Nights #2),£25.27,Five,Romance,In stock (19 available),25.27,5,True,Mid-range
Black Dust,£34.53,Five,Romance,In stock (19 available),34.53,5,True,Mid-range
Birdsong: A Story in Pictures,£54.64,Three,Childrens,In stock (19 available),54.64,3,True,Premium
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default,In stock (19 available),22.5,3,True,Mid-range
Aladdin and His Wonderful Lamp,£53.13,Three,Default,In stock (19 available),53.13,3,True,Premium
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,Nonfiction,In stock (18 available),40.3,5,True,Premium
Wall and Piece,£44.18,Four,Art,In stock (18 available),44.18,4,True,Premium
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality,In stock (18 available),17.66,5,True,Budget
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,Nonfiction,In stock (18 available),31.05,3,True,Mid-range
