Title,Price,Rating,Category,Availability
A Light in the Attic,£51.77,Three,Poetry,In stock (22 available)
Tipping the Velvet,£53.74,One,Historical Fiction,In stock (20 available)
Soumission,£50.10,One,Fiction,In stock (20 available)
Sharp Objects,£47.82,Four,Mystery,In stock (20 available)
Sapiens: A Brief History of Humankind,£54.23,Five,History,In stock (20 available)
The Requiem Red,£22.65,One,Young Adult,In stock (19 available)
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default,In stock (19 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default,In stock (19 available)
The Black Maria,£52.15,One,Poetry,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default,In stock (19 available)
Shakespeare's Sonnets,£20.66,Four,Poetry,In stock (19 available)
Set Me Free,£17.46,Five,Young Adult,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art,In stock (19 available)
Rip it Up and Start Again,£35.02,Five,Music,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music,In stock (19 available)
Olio,£23.88,One,Poetry,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction,In stock (19 available)
Libertarianism for Beginners,£51.33,Two,Politics,In stock (19 available)
It's Only the Himalayas,£45.17,Two,Travel,In stock (19 available)
In Her Wake,£12.84,One,Thriller,In stock (19 available)
How Music Works,£37.32,Two,Music,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink,In stock (19 available)
Chase Me (Paris Nights #2),£25.27,Five,Romance,In stock (19 available)
Black Dust,£34.53,Five,Romance,In stock (19 available)
Birdsong: A Story in Pictures,£54.64,Three,Childrens,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default,In stock (19 available)
Aladdin and His Wonderful Lamp,£53.13,Three,Default,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,Nonfiction,In stock (18 available)
Wall and Piece,£44.18,Four,Art,In stock (18 available)
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,Nonfiction,In stock (18 available)
The Elephant Tree,£23.82,Five,Thriller,In stock (18 available)
The Bear and the Piano,£36.89,One,Childrens,In stock (18 available)
Sophie's World,£15.94,Five,Philosophy,In stock (18 available)
Penny Maybe,£33.29,Three,Default,In stock (18 available)
Maude (1883-1993):She Grew Up with the country,£18.02,Two,Default,In stock (18 available)
"In a Dark, Dark Wood",£19.63,One,Mystery,In stock (18 available)
Behind Closed Doors,£52.22,Four,Thriller,In stock (18 available)
You can't bury them all: Poems,£33.63,Two,Poetry,In stock (17 available)
Slow States of Collapse: Poems,£57.31,Three,Poetry,In stock (17 available)
Reasons to Stay Alive,£26.41,Two,Nonfiction,In stock (17 available)
Private Paris (Private #10),£47.61,Five,Fiction,In stock (17 available)
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,Nonfiction,In stock (17 available)
Without Borders (Wanderlove #1),£45.07,Two,New Adult,In stock (16 available)
When We Collided,£31.77,One,Contemporary,In stock (16 available)
"We Love You, Charlie Freeman",£50.27,Five,Fiction,In stock (16 available)
Untitled Collection: Sabbath Poems 2014,£14.27,Four,Poetry,In stock (16 available)
